31.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:07:17.0 (815119)|USER_INFO|[EXTERNAL]|00524000001e3Uj|bedrijfsbureau@gsa.nl.sandbox|Midden-Europese standaardtijd|GMT+01:00
10:07:17.0 (863689)|EXECUTION_STARTED
10:07:17.0 (867763)|CODE_UNIT_STARTED|[EXTERNAL]|01p2400000Cr9rU|CreateTicketAndCallendarTest.test_createTicket
10:07:17.0 (1065351)|HEAP_ALLOCATE|[72]|Bytes:3
10:07:17.0 (1098750)|HEAP_ALLOCATE|[77]|Bytes:152
10:07:17.0 (1113686)|HEAP_ALLOCATE|[342]|Bytes:408
10:07:17.0 (1131248)|HEAP_ALLOCATE|[355]|Bytes:408
10:07:17.0 (1147765)|HEAP_ALLOCATE|[467]|Bytes:48
10:07:17.0 (1174057)|HEAP_ALLOCATE|[139]|Bytes:6
10:07:17.0 (1186235)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:333
10:07:17.0 (1194461)|METHOD_ENTRY|[2]|01p2400000Cr9rU|CreateTicketAndCallendarTest.CreateTicketAndCallendarTest()
10:07:17.0 (1198197)|STATEMENT_EXECUTE|[2]
10:07:17.0 (1202809)|STATEMENT_EXECUTE|[2]
10:07:17.0 (1206237)|METHOD_EXIT|[2]|CreateTicketAndCallendarTest
10:07:17.0 (1238704)|HEAP_ALLOCATE|[50]|Bytes:5
10:07:17.0 (1258832)|HEAP_ALLOCATE|[56]|Bytes:5
10:07:17.0 (1264594)|HEAP_ALLOCATE|[64]|Bytes:7
10:07:17.0 (1296960)|STATEMENT_EXECUTE|[4]
10:07:17.0 (1298568)|STATEMENT_EXECUTE|[6]
10:07:17.0 (1301186)|HEAP_ALLOCATE|[6]|Bytes:60
10:07:17.0 (1308968)|HEAP_ALLOCATE|[6]|Bytes:4
10:07:17.0 (1476108)|SOQL_EXECUTE_BEGIN|[6]|Aggregations:0|SELECT Id, Name FROM RecordType WHERE Name = 'Building Site'
10:07:17.0 (8067309)|SOQL_EXECUTE_END|[6]|Rows:1
10:07:17.0 (8088168)|HEAP_ALLOCATE|[6]|Bytes:8
10:07:17.0 (8102985)|HEAP_ALLOCATE|[6]|Bytes:50
10:07:17.0 (8207479)|HEAP_ALLOCATE|[6]|Bytes:8
10:07:17.0 (8222486)|HEAP_ALLOCATE|[6]|Bytes:36
10:07:17.0 (8295140)|HEAP_ALLOCATE|[6]|Bytes:12
10:07:17.0 (8306409)|VARIABLE_SCOPE_BEGIN|[6]|bsRT|RecordType|true|false
10:07:17.0 (8346232)|VARIABLE_ASSIGNMENT|[6]|bsRT|{"s":1,"v":{"Id":"01224000000B1dEAAS","Name":"Building Site"}}|0x21cd3db1
10:07:17.0 (8351731)|STATEMENT_EXECUTE|[7]
10:07:17.0 (8356648)|HEAP_ALLOCATE|[7]|Bytes:53
10:07:17.0 (8365780)|HEAP_ALLOCATE|[7]|Bytes:4
10:07:17.0 (8549961)|SOQL_EXECUTE_BEGIN|[7]|Aggregations:0|SELECT Id, Name FROM RecordType WHERE Name = 'Client'
10:07:17.0 (11157448)|SOQL_EXECUTE_END|[7]|Rows:1
10:07:17.0 (11171323)|HEAP_ALLOCATE|[7]|Bytes:8
10:07:17.0 (11180994)|HEAP_ALLOCATE|[7]|Bytes:43
10:07:17.0 (11193817)|HEAP_ALLOCATE|[7]|Bytes:8
10:07:17.0 (11216515)|HEAP_ALLOCATE|[7]|Bytes:12
10:07:17.0 (11221580)|VARIABLE_SCOPE_BEGIN|[7]|accRT|RecordType|true|false
10:07:17.0 (11237852)|VARIABLE_ASSIGNMENT|[7]|accRT|{"s":1,"v":{"Id":"01224000000Sn4JAAS","Name":"Client"}}|0x2bf97bc6
10:07:17.0 (11241054)|STATEMENT_EXECUTE|[8]
10:07:17.0 (11263909)|HEAP_ALLOCATE|[8]|Bytes:4
10:07:17.0 (11385888)|VARIABLE_ASSIGNMENT|[8]|this.RecordTypeId|"01224000000Sn4JAAS"|0x1d8a5620
10:07:17.0 (11390939)|HEAP_ALLOCATE|[8]|Bytes:4
10:07:17.0 (11406065)|VARIABLE_ASSIGNMENT|[8]|this.Name|"Test"|0x1d8a5620
10:07:17.0 (11428531)|VARIABLE_SCOPE_BEGIN|[8]|acc|Account|true|false
10:07:17.0 (11439209)|VARIABLE_ASSIGNMENT|[8]|acc|{"RecordTypeId":"01224000000Sn4JAAS","Name":"Test"}|0x1d8a5620
10:07:17.0 (11442365)|STATEMENT_EXECUTE|[9]
10:07:17.0 (11460830)|HEAP_ALLOCATE|[9]|Bytes:8
10:07:17.0 (11465420)|DML_BEGIN|[9]|Op:Insert|Type:Account|Rows:1
10:07:17.0 (11482836)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:07:17.0 (159822536)|DML_END|[9]
10:07:17.0 (159847573)|STATEMENT_EXECUTE|[11]
10:07:17.0 (159891579)|HEAP_ALLOCATE|[11]|Bytes:4
10:07:17.0 (160032505)|VARIABLE_ASSIGNMENT|[11]|this.AccountId|"0010E000002j3tdQAA"|0x2e3728ae
10:07:17.0 (160050755)|VARIABLE_ASSIGNMENT|[11]|this.LastName|"Test"|0x2e3728ae
10:07:17.0 (160078255)|VARIABLE_SCOPE_BEGIN|[11]|cont|Contact|true|false
10:07:17.0 (160093494)|VARIABLE_ASSIGNMENT|[11]|cont|{"AccountId":"0010E000002j3tdQAA","LastName":"Test"}|0x2e3728ae
10:07:17.0 (160096073)|STATEMENT_EXECUTE|[12]
10:07:17.0 (160119182)|HEAP_ALLOCATE|[12]|Bytes:8
10:07:17.0 (160124029)|DML_BEGIN|[12]|Op:Insert|Type:Contact|Rows:1
10:07:17.0 (160150889)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:07:17.0 (256434215)|DML_END|[12]
10:07:17.0 (256452764)|STATEMENT_EXECUTE|[15]
10:07:17.0 (256460536)|HEAP_ALLOCATE|[15]|Bytes:56
10:07:17.0 (256472556)|HEAP_ALLOCATE|[15]|Bytes:4
10:07:17.0 (256669940)|SOQL_EXECUTE_BEGIN|[15]|Aggregations:0|SELECT Id FROM Profile WHERE Name = 'Bouwticket account'
10:07:17.0 (262642931)|SOQL_EXECUTE_END|[15]|Rows:1
10:07:17.0 (262657960)|HEAP_ALLOCATE|[15]|Bytes:8
10:07:17.0 (262671341)|HEAP_ALLOCATE|[15]|Bytes:29
10:07:17.0 (262736574)|HEAP_ALLOCATE|[15]|Bytes:8
10:07:17.0 (262746514)|HEAP_ALLOCATE|[15]|Bytes:33
10:07:17.0 (262798380)|HEAP_ALLOCATE|[15]|Bytes:8
10:07:17.0 (262804890)|VARIABLE_SCOPE_BEGIN|[15]|profile|Profile|true|false
10:07:17.0 (262829908)|VARIABLE_ASSIGNMENT|[15]|profile|{"s":1,"v":{"Id":"00e24000000YX5jAAG"}}|0x53554183
10:07:17.0 (262833191)|STATEMENT_EXECUTE|[16]
10:07:17.0 (262852493)|HEAP_ALLOCATE|[16]|Bytes:4
10:07:17.0 (262915179)|VARIABLE_SCOPE_BEGIN|[16]|user|User|true|false
10:07:17.0 (262924674)|VARIABLE_ASSIGNMENT|[16]|user|{}|0x29f44105
10:07:17.0 (262927012)|STATEMENT_EXECUTE|[17]
10:07:17.0 (262931095)|HEAP_ALLOCATE|[17]|Bytes:15
10:07:17.0 (262979398)|VARIABLE_ASSIGNMENT|[17]|this.Username|"contact@ukr.net"|0x29f44105
10:07:17.0 (262982240)|STATEMENT_EXECUTE|[18]
10:07:17.0 (263001861)|VARIABLE_ASSIGNMENT|[18]|this.Email|"contact@ukr.net"|0x29f44105
10:07:17.0 (263004626)|STATEMENT_EXECUTE|[19]
10:07:17.0 (263007065)|HEAP_ALLOCATE|[19]|Bytes:7
10:07:17.0 (263024110)|VARIABLE_ASSIGNMENT|[19]|this.FirstName|"contact"|0x29f44105
10:07:17.0 (263026144)|STATEMENT_EXECUTE|[20]
10:07:17.0 (263028197)|HEAP_ALLOCATE|[20]|Bytes:9
10:07:17.0 (263043895)|VARIABLE_ASSIGNMENT|[20]|this.CommunityNickname|"test65454"|0x29f44105
10:07:17.0 (263045920)|STATEMENT_EXECUTE|[21]
