36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:50:30.0 (272061)|USER_INFO|[EXTERNAL]|00524000001e3Uj|bedrijfsbureau@gsa.nl.sandbox|Midden-Europese standaardtijd|GMT+01:00
10:50:30.0 (318238)|EXECUTION_STARTED
10:50:30.0 (321819)|CODE_UNIT_STARTED|[EXTERNAL]|01p2400000Cr5V2|SiteRegisterControllerTest.testRegistration
10:50:30.0 (706497)|HEAP_ALLOCATE|[72]|Bytes:3
10:50:30.0 (740967)|HEAP_ALLOCATE|[77]|Bytes:152
10:50:30.0 (756294)|HEAP_ALLOCATE|[342]|Bytes:408
10:50:30.0 (771345)|HEAP_ALLOCATE|[355]|Bytes:408
10:50:30.0 (785318)|HEAP_ALLOCATE|[467]|Bytes:48
10:50:30.0 (811668)|HEAP_ALLOCATE|[139]|Bytes:6
10:50:30.0 (822713)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
10:50:30.0 (831743)|METHOD_ENTRY|[4]|01p2400000Cr5V2|SiteRegisterControllerTest.SiteRegisterControllerTest()
10:50:30.0 (835218)|STATEMENT_EXECUTE|[4]
10:50:30.0 (839008)|STATEMENT_EXECUTE|[4]
10:50:30.0 (871178)|HEAP_ALLOCATE|[50]|Bytes:5
10:50:30.0 (891215)|HEAP_ALLOCATE|[56]|Bytes:5
10:50:30.0 (898152)|HEAP_ALLOCATE|[64]|Bytes:7
10:50:30.0 (1183514)|SYSTEM_MODE_ENTER|false
10:50:30.0 (1200161)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:50:30.0 (1208167)|SYSTEM_MODE_EXIT|false
10:50:30.0 (1214845)|METHOD_EXIT|[4]|SiteRegisterControllerTest
10:50:30.0 (1259126)|SYSTEM_MODE_ENTER|false
10:50:30.0 (1262732)|HEAP_ALLOCATE|[6]|Bytes:5
10:50:30.0 (1265438)|STATEMENT_EXECUTE|[5]
10:50:30.0 (1266933)|STATEMENT_EXECUTE|[6]
10:50:30.0 (2802170)|VARIABLE_SCOPE_BEGIN|[7]|SiteRegisterController.PORTAL_ACCOUNT_ID|Id|false|true
10:50:30.0 (2812358)|HEAP_ALLOCATE|[6]|Bytes:196
10:50:30.0 (2817431)|HEAP_ALLOCATE|[6]|Bytes:22
10:50:30.0 (2830564)|METHOD_ENTRY|[4]|01p2400000Cr5V1|SiteRegisterController.SiteRegisterController()
10:50:30.0 (2833035)|STATEMENT_EXECUTE|[4]
10:50:30.0 (2835686)|STATEMENT_EXECUTE|[4]
10:50:30.0 (2841866)|HEAP_ALLOCATE|[7]|Bytes:5
10:50:30.0 (2844467)|STATEMENT_EXECUTE|[7]
10:50:30.0 (2851327)|HEAP_ALLOCATE|[7]|Bytes:15
10:50:30.0 (2866681)|HEAP_ALLOCATE|[7]|Bytes:4
10:50:30.0 (2955729)|VARIABLE_ASSIGNMENT|[7]|SiteRegisterController.PORTAL_ACCOUNT_ID|"001x000xxx35tPNAAY"
10:50:30.0 (2966690)|METHOD_EXIT|[4]|SiteRegisterController
10:50:30.0 (2985713)|HEAP_ALLOCATE|[6]|Bytes:24
10:50:30.0 (2996117)|CONSTRUCTOR_ENTRY|[6]|01p2400000Cr5V1|<init>()
10:50:30.0 (3023701)|VARIABLE_SCOPE_BEGIN|[9]|this|SiteRegisterController|true|false
10:50:30.0 (3074966)|VARIABLE_ASSIGNMENT|[9]|this|{}|0x43f865c5
10:50:30.0 (3084928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:50:30.0 (3088250)|STATEMENT_EXECUTE|[4]
10:50:30.0 (3090241)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:50:30.0 (3091741)|STATEMENT_EXECUTE|[12]
10:50:30.0 (3092977)|STATEMENT_EXECUTE|[13]
10:50:30.0 (3093956)|STATEMENT_EXECUTE|[14]
10:50:30.0 (3094899)|STATEMENT_EXECUTE|[15]
10:50:30.0 (3095791)|STATEMENT_EXECUTE|[16]
10:50:30.0 (3102834)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
10:50:30.0 (3119105)|STATEMENT_EXECUTE|[9]
10:50:30.0 (3124212)|CONSTRUCTOR_EXIT|[6]|01p2400000Cr5V1|<init>()
10:50:30.0 (3127958)|VARIABLE_SCOPE_BEGIN|[6]|controller|SiteRegisterController|true|false
10:50:30.0 (3143140)|VARIABLE_ASSIGNMENT|[6]|controller|{}|0x43f865c5
10:50:30.0 (3145062)|STATEMENT_EXECUTE|[7]
10:50:30.0 (3147529)|HEAP_ALLOCATE|[7]|Bytes:14
10:50:30.0 (3190566)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x43f865c5
10:50:30.0 (3198015)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test@force.com"
10:50:30.0 (3207166)|VARIABLE_ASSIGNMENT|[12]|this.username|"test@force.com"|0x43f865c5
10:50:30.0 (3213309)|STATEMENT_EXECUTE|[8]
10:50:30.0 (3244441)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"username":"test@force.com"}|0x43f865c5
10:50:30.0 (3248371)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test@force.com"
10:50:30.0 (3253442)|VARIABLE_ASSIGNMENT|[13]|this.email|"test@force.com"|0x43f865c5
10:50:30.0 (3257674)|STATEMENT_EXECUTE|[9]
10:50:30.0 (3260108)|HEAP_ALLOCATE|[9]|Bytes:4
10:50:30.0 (3289816)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (3293722)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test"
10:50:30.0 (3299446)|HEAP_ALLOCATE|[16]|Bytes:5
10:50:30.0 (3302567)|STATEMENT_EXECUTE|[16]
10:50:30.0 (3303701)|STATEMENT_EXECUTE|[16]
10:50:30.0 (3352095)|HEAP_ALLOCATE|[16]|Bytes:4
10:50:30.0 (3364199)|VARIABLE_ASSIGNMENT|[16]|this.communityNickname|"test"|0x43f865c5
10:50:30.0 (3370073)|STATEMENT_EXECUTE|[11]
10:50:30.0 (3386726)|METHOD_ENTRY|[11]|01p2400000Cr5V1|SiteRegisterController.registerUser()
10:50:30.0 (3400009)|VARIABLE_SCOPE_BEGIN|[22]|this|SiteRegisterController|true|false
10:50:30.0 (3416021)|VARIABLE_ASSIGNMENT|[22]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (3427711)|HEAP_ALLOCATE|[24]|Bytes:5
10:50:30.0 (3430363)|STATEMENT_EXECUTE|[22]
10:50:30.0 (3437127)|METHOD_ENTRY|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
10:50:30.0 (3447354)|VARIABLE_SCOPE_BEGIN|[18]|this|SiteRegisterController|true|false
10:50:30.0 (3460514)|VARIABLE_ASSIGNMENT|[18]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (3468471)|HEAP_ALLOCATE|[19]|Bytes:5
10:50:30.0 (3470827)|STATEMENT_EXECUTE|[18]
10:50:30.0 (3471835)|STATEMENT_EXECUTE|[19]
10:50:30.0 (3494431)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (3515845)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (3522944)|HEAP_ALLOCATE|[19]|Bytes:5
10:50:30.0 (3528034)|METHOD_EXIT|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
10:50:30.0 (3533023)|STATEMENT_EXECUTE|[24]
10:50:30.0 (3534282)|STATEMENT_EXECUTE|[29]
10:50:30.0 (3572170)|HEAP_ALLOCATE|[29]|Bytes:4
10:50:30.0 (3667447)|VARIABLE_SCOPE_BEGIN|[29]|u|User|true|false
10:50:30.0 (3679011)|VARIABLE_ASSIGNMENT|[29]|u|{}|0x1728d058
10:50:30.0 (3681189)|STATEMENT_EXECUTE|[30]
10:50:30.0 (3715684)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (4735171)|VARIABLE_ASSIGNMENT|[30]|this.Username|"test@force.com"|0x1728d058
10:50:30.0 (4739982)|STATEMENT_EXECUTE|[31]
10:50:30.0 (4783304)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (4826334)|VARIABLE_ASSIGNMENT|[31]|this.Email|"test@force.com"|0x1728d058
10:50:30.0 (4828954)|STATEMENT_EXECUTE|[32]
10:50:30.0 (4866734)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (4900405)|VARIABLE_ASSIGNMENT|[32]|this.CommunityNickname|"test"|0x1728d058
10:50:30.0 (4902809)|STATEMENT_EXECUTE|[34]
10:50:30.0 (4915050)|HEAP_ALLOCATE|[34]|Bytes:18
10:50:30.0 (4920149)|VARIABLE_SCOPE_BEGIN|[34]|accountId|String|false|false
10:50:30.0 (4925792)|VARIABLE_ASSIGNMENT|[34]|accountId|"001x000xxx35tPNAAY"
10:50:30.0 (4927591)|STATEMENT_EXECUTE|[37]
10:50:30.0 (4953548)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (4994869)|HEAP_ALLOCATE|[37]|Bytes:145
10:50:30.0 (5019101)|SYSTEM_METHOD_ENTRY|[1]|Site.Site()
10:50:30.0 (5022273)|STATEMENT_EXECUTE|[1]
10:50:30.0 (5033003)|SYSTEM_METHOD_EXIT|[1]|Site
10:50:30.0 (5044496)|METHOD_ENTRY|[37]||System.Site.createPortalUser(SObject, String, String)
10:50:30.0 (5115867)|METHOD_EXIT|[37]||System.Site.createPortalUser(SObject, String, String)
10:50:30.0 (5121728)|VARIABLE_SCOPE_BEGIN|[37]|userId|String|false|false
10:50:30.0 (5128274)|VARIABLE_ASSIGNMENT|[37]|userId|null
10:50:30.0 (5131054)|STATEMENT_EXECUTE|[38]
10:50:30.0 (5132222)|STATEMENT_EXECUTE|[48]
10:50:30.0 (5138440)|METHOD_EXIT|[11]|01p2400000Cr5V1|SiteRegisterController.registerUser()
10:50:30.0 (5158692)|STATEMENT_EXECUTE|[13]
10:50:30.0 (5161904)|HEAP_ALLOCATE|[13]|Bytes:8
10:50:30.0 (5210005)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x43f865c5
10:50:30.0 (5215042)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"abcd1234"
10:50:30.0 (5222942)|HEAP_ALLOCATE|[14]|Bytes:5
10:50:30.0 (5225597)|STATEMENT_EXECUTE|[14]
10:50:30.0 (5226741)|STATEMENT_EXECUTE|[14]
10:50:30.0 (5244426)|HEAP_ALLOCATE|[14]|Bytes:8
10:50:30.0 (5256475)|VARIABLE_ASSIGNMENT|[14]|this.password|"abcd1234"|0x43f865c5
10:50:30.0 (5262712)|STATEMENT_EXECUTE|[14]
10:50:30.0 (5264868)|HEAP_ALLOCATE|[14]|Bytes:7
10:50:30.0 (5299241)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x43f865c5
10:50:30.0 (5303525)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"abcd123"
10:50:30.0 (5308940)|HEAP_ALLOCATE|[15]|Bytes:5
10:50:30.0 (5311005)|STATEMENT_EXECUTE|[15]
10:50:30.0 (5312108)|STATEMENT_EXECUTE|[15]
10:50:30.0 (5325379)|HEAP_ALLOCATE|[15]|Bytes:7
10:50:30.0 (5334762)|VARIABLE_ASSIGNMENT|[15]|this.confirmPassword|"abcd123"|0x43f865c5
10:50:30.0 (5340077)|STATEMENT_EXECUTE|[15]
10:50:30.0 (5346214)|METHOD_ENTRY|[15]|01p2400000Cr5V1|SiteRegisterController.registerUser()
10:50:30.0 (5353564)|VARIABLE_SCOPE_BEGIN|[22]|this|SiteRegisterController|true|false
10:50:30.0 (5368600)|VARIABLE_ASSIGNMENT|[22]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x43f865c5
10:50:30.0 (5378765)|HEAP_ALLOCATE|[24]|Bytes:5
10:50:30.0 (5381225)|STATEMENT_EXECUTE|[22]
10:50:30.0 (5385710)|METHOD_ENTRY|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
10:50:30.0 (5388178)|VARIABLE_SCOPE_BEGIN|[18]|this|SiteRegisterController|true|false
10:50:30.0 (5400506)|VARIABLE_ASSIGNMENT|[18]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x43f865c5
10:50:30.0 (5406414)|HEAP_ALLOCATE|[19]|Bytes:5
10:50:30.0 (5408329)|STATEMENT_EXECUTE|[18]
10:50:30.0 (5409431)|STATEMENT_EXECUTE|[19]
10:50:30.0 (5423296)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x43f865c5
