36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:45:17.0 (678391)|USER_INFO|[EXTERNAL]|00524000001e3Uj|bedrijfsbureau@gsa.nl.sandbox|Midden-Europese standaardtijd|GMT+01:00
10:45:17.0 (724154)|EXECUTION_STARTED
10:45:17.0 (730123)|CODE_UNIT_STARTED|[EXTERNAL]|01p2400000DUoKA|SubLocationDetailUtilTest.test3
10:45:17.0 (936030)|HEAP_ALLOCATE|[72]|Bytes:3
10:45:17.0 (973979)|HEAP_ALLOCATE|[77]|Bytes:152
10:45:17.0 (990583)|HEAP_ALLOCATE|[342]|Bytes:408
10:45:17.0 (1007971)|HEAP_ALLOCATE|[355]|Bytes:408
10:45:17.0 (1025757)|HEAP_ALLOCATE|[467]|Bytes:48
10:45:17.0 (1052405)|HEAP_ALLOCATE|[139]|Bytes:6
10:45:17.0 (1064863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:217
10:45:17.0 (1073699)|METHOD_ENTRY|[2]|01p2400000DUoKA|SubLocationDetailUtilTest.SubLocationDetailUtilTest()
10:45:17.0 (1076835)|STATEMENT_EXECUTE|[2]
10:45:17.0 (1081474)|STATEMENT_EXECUTE|[2]
10:45:17.0 (1086848)|METHOD_EXIT|[2]|SubLocationDetailUtilTest
10:45:17.0 (1119747)|HEAP_ALLOCATE|[50]|Bytes:5
10:45:17.0 (1143900)|HEAP_ALLOCATE|[56]|Bytes:5
10:45:17.0 (1149755)|HEAP_ALLOCATE|[64]|Bytes:7
10:45:17.0 (1188481)|STATEMENT_EXECUTE|[36]
10:45:17.0 (1190250)|STATEMENT_EXECUTE|[37]
10:45:17.0 (1235224)|HEAP_ALLOCATE|[37]|Bytes:4
10:45:17.0 (1323163)|HEAP_ALLOCATE|[37]|Bytes:23
10:45:17.0 (1382625)|VARIABLE_ASSIGNMENT|[37]|this.Name|"Test Vertical Transp (3 more) ..."|0x18cf0a8b
10:45:17.0 (1406711)|VARIABLE_SCOPE_BEGIN|[37]|parentLocation|Location__c|true|false
10:45:17.0 (1422657)|VARIABLE_ASSIGNMENT|[37]|parentLocation|{"Name":"Test Vertical Transp (3 more) ..."}|0x18cf0a8b
10:45:17.0 (1424999)|STATEMENT_EXECUTE|[38]
10:45:17.0 (1450973)|HEAP_ALLOCATE|[38]|Bytes:8
10:45:17.0 (1461072)|DML_BEGIN|[38]|Op:Insert|Type:Location__c|Rows:1
10:45:17.0 (1485759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:45:17.0 (6356461)|CODE_UNIT_STARTED|[EXTERNAL]|01q24000000PhJS|LocationTrigger on Location trigger event BeforeInsert for [new]
10:45:17.0 (6389594)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:45:17.0 (6454360)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:45:17.0 (6462490)|VARIABLE_SCOPE_BEGIN|[1]|this|LocationTrigger|true|false
10:45:17.0 (6492951)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x480588e3
10:45:17.0 (6524740)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:45:17.0 (6529281)|VARIABLE_SCOPE_BEGIN|[1]|this|LocationTrigger|true|false
10:45:17.0 (6536142)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x480588e3
10:45:17.0 (6539207)|STATEMENT_EXECUTE|[1]
